Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Andropogon,schirensis,Andropogon schirensis,80,(plus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Drier Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116889,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",yes,yes,changed the grouping information to make it the number of fecal samples instead of the number of plant species ,KN,10/21/21,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Elionurus,muticus,Elionurus muticus,0,(plus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116890,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Eragrostis,capensis,Eragrostis capensis,55,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116891,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Eragrostis,curvula,Eragrostis curvula,5,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116892,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Eragrostis,plana,Eragrostis plana,15,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116893,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Heteropogon,contortus,Heteropogon contortus,55,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116894,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Hyparrhenia,hirta,Hyparrhenia hirta,80,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116895,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Monocymbium,ceresiiforme,Monocymbium ceresiiforme,90,(plus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116896,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Setaria,nigrirostis,Setaria nigrirostis,80,(plus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116897,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
AT,,Antilopinae,Ourebia ourebi,Oribi,NA,annual,1990,1990,NA,Sporobolus,africanus,Sporobolus africanus,75,(minus),proportion,frequency of observation in faecal samples,percent frequency,species composition percentage in the fecal samples ,38,NA,partial,Faecal analysis,fecal microhistology,"faecal samples collected each season, treated and analysed according to methods of Storr (1961) and Stewart(1967)",2,spatial,Middleton,"two private farms; Middleton in the Moist Uplands, Strathcona in the Direr Uplands",20,number of fecal samples analyzed,20,total number of fecal samples analyzed,fecal samples (composite or unstated),5 faecal samples collected each season (4 seasons) in 1990,29 07' S,30 26' E,NA,NA,reported,Natal,South Africa,Africa,open grassland communities,grassland,,,,,no,NA,,,"Everett, P. S., D. T. Rowe-Rowe, and M. R. Perrin. ""Diet of oribi on farmland in Natal."" South African Journal of Wildlife Research-24-month delayed open access 22.1 (1992): 7-10.",https://journals.co.za/doi/pdf/10.10520/EJC116898,"unsure about: author definition of units, complete vs partial list of plants, very unsure about sample size section",,,,,,NA
