Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,NA,NA,Bluestems,32.9,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 1,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,NA,NA,Bluestems,44.7,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 2,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Bromus,NA,Bromus,4.3,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 1,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Bromus,NA,Bromus,0.7,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 2,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,NA,NA,Miscellaneous,4.5,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 1,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,NA,NA,Miscellaneous,5.3,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 2,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Muhlenbergia,NA,Muhlenbergia,11,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 1,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Muhlenbergia,NA,Muhlenbergia,1.9,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 2,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Panicum,NA,Panicum,3.8,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 1,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
BW,September 1 2021,Bovidae,Bison Bison,American Bison,winter,winter,1994,1995,NA,Panicum,NA,Panicum,2.7,NA,proportion,percent composition,percent composition in diet,relative percent composition,NA,NA,complete,composite faecal samples,fecal microhistology,composite faecal samples,2,temporal,Year 2,Year 1 (1994) or Year 2 (1995),24,composite fecal samples,48,composite fecal samples,fecal samples (composite or unstated),NA,36.846006,-96.421937,NA,NA,inferred,the Nature Conservancy's Tallgrass Prairie Preserve in Oklahoma,United States,North America,tallgrass prairie,grassland,NA,NA,877,mm,no,NA,high,authors/reported data very clear,Coppedge et al. 1998,https://repository.arizona.edu/bitstream/handle/10150/644058/9326-9207-1-PB.pdf?sequence=1&isAllowed=y,NA,yes,yes,standardized,DF,1/23/23,
