Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
DF,8/2/22,Bovidae,Ammotragus lervia,Aoudad sheep,spring,dry,1967,1968,NA,Hymenopappus,tenuifolius,Hymenopappus tenuifolius,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Dry Spring","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1972",https://www.jstor.org/stable/3670063?seq=7#metadata_info_tab_contents,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,spring,dry,1967,1968,NA,Stillingia,sylvatica,Stillingia sylvatica,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Dry Spring","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1973",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,spring,dry,1967,1968,NA,Quercus,virginiana,Quercus virginiana,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Dry Spring","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1974",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,spring,dry,1967,1968,NA,Celtis,NA,Celtis spp.,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Dry Spring","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1975",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Desmathus,velutinus,Desmathus velutinus,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1976",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Leptoloma,cognatum,Leptoloma cognatum,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1977",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Bouteloua,curtipendula,Bouteloua cutipendula,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1978",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Pancium,halli,Panicum halli,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1979",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Quercus,virginiana,Quercus virginiana,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1980",,,,,,,,16.2 in
DF,,Bovidae,Ammotragus lervia,Aoudad sheep,summer,summer,1967,1968,NA,Quercus,durandii,Quercus durandii,NA,NA,presence/absence,plants furnishing,presence/absence,Plants furnishing 5 per cent or more of the seasonal diet by pasture,69,NA,partial,observation,direct observation,The technique of observing tame animals was described by McMahan (1964) and Watts (1964).,15,spatial,"Pasture 9, Summer","Pasture 8 contained no domestic livestock, but contained deer at a saturation level of one deer per 3.3 acres. The vegetative conditions were similar to those in pasture 2, although not as severe. Pasture 9 was an exclosure which contained no livestock. SEASON CLASSES: D-Dry Spring, S-Summer, F-Fall, W-Winter, M-Wet Spring",45,minutes,675,minutes,direct observation,The animal was allowed to graze once a week in each of three previously estab lished 96-acre pastures. A 45-minute grazing period commencing at 8:00 a.m. w used.,30.06315253,-99.50685119,NA,NA,inferred,Kerr Wildlife Management Area,United States,North America,woody overstory savannah aspect,temperate forest,,,,,no,NA,medium,reported data is unclear/confusing,"Ramsey, Anderegg 1981",,,,,,,,16.2 in
