Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
DW,5/11,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,Panicum,maximum,Panicum maximum,1.7,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 8,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1980.tb04218.x,"unsure what to fill in for biome, note that author uses two different methods for grass spp (microscopic analysis) and browse spp (direct observation). Also grass species listed in table as % composition in Feb 1978 but study takes place from 1976-78..unsure of what was studied in 1976. check if ok.",yes,no,,KN,10/21/21,
DW,5/11,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,Sporobolus,ioclados,Sporobolus ioclados,3.3,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 9,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,5/11,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,Urochloa,mosambicensis,Urochloa mosambicensis,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 10,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,5/11,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,Chloris ,virgaia,Chloris virgaia,19.4,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 11,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,Panicum,laevifolium,Panicum laevifolium,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 12,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Hyparrhenia filipendula,0.2,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 13,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Hereropogon contortus,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 14,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Chloris spp.,-,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 15,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Dactylocienium spp.,0.2,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 16,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Sporobolus cordofanus,0.4,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 17,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Digitaria debelis,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 18,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Sporobolus spp.,2.6,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 19,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Urochloa trichopus,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 20,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Digitaria niilanjiana,0.9,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 21,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Hyperthelia dissoluta,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 22,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Urochloa sp.,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 23,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Setaria pallidefusca,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 24,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
DW,,Aerpycerotinae,Aepyceros melampus,Impala,rainy,wet,1976,1978,,,,Sporobolus pyramidalis,0,NA,proportion,percent composition,percent composition in diet,,NA,NA,partial,microscopic identification of grass fragments,rumen microhistology,,2,spatial,Borehole,two intensive study sites,4,rumen contents,8,rumen contents,individual animals,analyses time consuming; only analysed 25,-18.158335,28.218531,NA,NA,inferred,Sengwa Wildlife Research Area,Zimbabwe,Africa,woodland,savanna,,,,,,,high,authors/reported data very clear,Dunham 1980,,,,,,,,
