Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,Poaceae,NA,NA,Grass,41.66,NA,proportion,% mean,percent mean in diet,% contribution to diet in total observations,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,NA,NA,Browse,16.66,NA,proportion,% mean,percent mean in diet,% contribution to diet in total observations,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,NA,NA,"Fallen leaves, flowers and fruits",36,NA,proportion,% mean,percent mean in diet,% contribution to diet in total observations,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,NA,NA,"herb, shrub, creeper and straggler",5.66,NA,proportion,% mean,percent mean in diet,% contribution to diet in total observations,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Acacia,leucophloea,Acacia leucophloea,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Acacia,nilotica,Acacia nilotica,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Acacia,senegal,Acacia senegal,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Zizyphus,mauritiana,Zizyphus mauritiana,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Capparis,sepiaria,Capparis sepiaria,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
GE,June 3 2021,Bovinae,Boselaphus tragocamelus,Nilgai,July-June,annual,2010,2011,NA,Acacia,nilotica,Acacia nilotica,NA,NA,presence/absence,presence/absence,presence/absence,presence/absence,123,NA,complete,grazing minutes and feeding site method,direct observation,"""Grazing minutes"" is observing the plants eaten as the animals graze. ""Feeding site method"" is later inspecting the site to see what plants were eaten",NA,temporal,NA,NA,NA,NA,496,feeding observations,direct observation,feeding observations,23.23 N,77.36 E,NA,NA,reported,Van Vihar National Park,India,Asia,"grassland, savanna, scrubland, and woodland",grassland,1146.7,NA,,mm,no,NA,medium,reported data is unclear/confusing,"Bhat S. A, Telang S, Wani M. A, Sheikh K. A. Food habits of Nilgai (Boselaphus tragocamelus) in Van Vihar National Park, Bhopal, Madhya Pradesh, India. Biomed Pharmacol J 2012;5(1)",https://biomedpharmajournal.org/vol5no1/food-habits-of-nilgai-boselaphus-tragocamelus-in-van-vihar-national-park-bhopal-madhya-pradesh-india/,,yes,yes,standardized,DF,1/23/2023,
