...1,Ungulate Latin Name,Avg species weight (kg),Avg species shoulder height (cm),Ruminant/non-ruminant,Researcher,Ungulate Family,Ungulate Common Name,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Name,% Contribution to Diet,Data type,Binned units,Binned method,Total sample size,Binned total sample size units,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Reported Study Site Location,Country,Biome,Citation (abrv),Latitude 1 Decimal,Longitude 1 Decimal,Latitude 2 Decimal,Longitude 2 Decimal,Latitude_Average,Longitude_Average,point_type
2875,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Carex spp.,5.3,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2876,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Kobresia spp.,67.12,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2877,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Deschampsia spp.,4.23,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2878,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Deyeuxia spp.,0.16,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2879,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Leymus spp.,0.12,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2880,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Poa spp.,5.65,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2881,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Roegneria spp.,0.16,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2882,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Stipa spp.,2.83,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2883,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Astragalus spp.,7.22,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
2884,Bos grunniens,240,200,Ruminant,kyra_s,Bovidae,Wild yak,summer,1990,1992,NA,Ceratoides spp.,0.68,frequency,percent occurrence in samples,fecal microhistology,NA,fecal samples (composite or unstated),"35'50""N",91'93''E,NA,NA,Wild Yak Valley,Tibet,grassland,Miller et al 1994,91,35,NA,NA,NA,NA,NA
