Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Sorghastrum,pellitum,Sorghastrum pellitum,37,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1984,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1987,https://www.sciencedirect.com/science/article/pii/0006320788900481,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Schizachyrium,plurnigerum,Schizachyrium plurnigerum ,12,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1985,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1988,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Bothriochloa,springfieldii,Bothriochloa springfieldii ,7,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1986,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1989,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Chloris,retusa,Chloris retusa ,0,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1987,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1990,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Cenchrus,pauciflorus,Cenchrus pauciflorus,12,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1988,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1991,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Elyonurus,muticus,Elyonurus muticus,0,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1989,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1992,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Poa,ligularis,Poa ligularis,12,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1990,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1993,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Bromus,brevis,Bromus brevis,0,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1991,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1994,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Plantago,patagonica,Plantago patagonica ,11,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1992,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1995,,,,,,,,450mm/year
JM,October 22 2021,Cervidae,Ozotoceros bezoarticus,Pampas deer,November/December,spring,1982,1984,N/A,Hyalis,argentea,Hyalis argentea ,0,N/A,proportion,% in Faecal Pellets,,Dietary Contribution--% in Faecal Pellets,21,N/A,partial,microhistological technique,fecal microhistology,microhistological technique applied to faecal samples,14,temporal,November/December,Faecel samples collected every 2 months from July 1982 to October 1993,N/A,N/A,14,fecal sampling periods,,N/A,34.22S,65.44W,N/A,N/A,reported,La Travesia,Argentina,South America,Pampas,grassland,,,,,yes,"cattle, horses",medium,reported data is unclear/confusing,Jackson & Giulietti 1996,,,,,,,,450mm/year
