Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Asteraceae,Disparago,NA,Disparago spp.,9.8,1,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3385,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Asteraceae,Metalasia,NA,Metalasia spp.,4.9,2,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3386,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Fabaceae,Aspalathus,NA,Aspalathus spp.,4.1,3,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3387,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Malvaceae,Hermannia ,NA,Hermannia spp.,2.5,4,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3388,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Asteraceae,Hlichrysum,NA,Hlichrysum spp.,2.4,5,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3389,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Polygalaceae,Muraltia ,NA,Muraltia spp.,1.9,6,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3390,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Thymelaeaceae,Gnidia,NA,Gnidia spp.,1.8,7,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3391,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Oxalidaceae,Oxalis,NA,Oxalis spp. ,1.5,8,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3392,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Asteraceae,Osteospermum ,NA,Osteospermum spp.,1.3,9,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3393,,,,,,,519 mm
KeelerN,26 May 2021,Reduncinae ,Pelea capreolus,Rhebok,NA,NA,1983,1984,Geraniaceae,Pelargonium ,NA,Pelargonium spp.,1.3,10,proportion,Percent,percent composition in diet,% plant parts in rumen contents,13,13,partial,Rumen Contents Analysis,fecal microhistology,Analysis of Rumen Contents,1,spatial,NA,NA,34,transects,34,transects,transects/feeding sites,Thirty-four transects were subjectively chosen to represent the different vegetation communities at different stages of regrowth after fire.,34°03',20°30',NA,NA,reported,Bontebok National Park,South Africa,Africa,River Terraces,savanna,,,,,no,NA,high,unsure of my interpretation of data,Diet of grey rhebuck in Bontebok National Park,https://journals.co.za/doi/pdf/10.10520/AJA03794369_3394,,,,,,,519 mm
