Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Axonopus ,NA,Axonopus sp.,0.22,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.010,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Cynodon,NA,Cynodon sp.,3.96,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.011,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Digitaria ,NA,Digitaria sp.,0.03,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.012,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Eulalia,trispicata,Eulalia trispicata ,3.3,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.013,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Echinochloa,NA,Echinochloa sp.,1.79,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.014,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Imperata,NA,Imperata sp.,0.57,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.015,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Ottoebola,nodosa,Ottoebola nodosa ,0.9,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.016,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Panicum,NA,Panicum sp. ,5.01,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.017,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Pseudanthistria,umbellata,Pseudanthistria umbellata ,2.43,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.018,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
Kyra N,2021/05/28,Bovinae,Tetracerus quadricornis,Four-horned antelope or chousingha,dry,dry,1999,1999,Poaceae,Setaria,NA,Setaria sp.,2.83,NA,proportion,% composition ,percent composition in diet,% composition,24,NA,complete,histological study of the pellet samples,fecal microhistology,pellet analysis ,6,spatial,January-February 1999 pellet collection,"During January–February 1999, a total of 59 pellet samples were collected from six lavatory sites (five samples per site per month)",10,number of pellets collected per sample site per month,59,number of pellets collected total over all study periods during both months,individual fecal pellets,NA,11◦32′,11◦45′N,76◦20′,76◦45′E,reported,Mudumalai Wildlife Sanctuary,India ,Asia,tropical dry deciduous and thorn forests ,temperate forest,,,,,no,NA,high,authors/reported data very clear,Baskaran et al. 2011,https://link.springer.com/article/10.1016/j.mambio.2011.06.019,NA,,,,,,"600-1000mm in the eastern regions, 1000-2000mm in the western regions"
