Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Desmodium,NA,Desmodium sp.,37.4,NA,quantity,kg dry weight/sq. km,percent composition in diet,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,"I just changed some of the sample size information to make it more specific, but no major changes were made. Sample sizes weren't defined that clearly in the paper",KN,10/15/21,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Shorea,Obscura,Shorea obtusa,12.7,NA,quantity,kg dry weight/sq. km,percent composition in diet,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Ellipeiopsis,Cherrevensis,Ellipeiopsis cherrevensis,10.9,NA,quantity,kg dry weight/sq. km,percent composition in diet,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Helicteres,Angustifolia,Helicteres angustifolia,10.3,NA,quantity,kg dry weight/sq. km,percent composition in diet,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,NA,NA,Poaceae sp.2,10,NA,quantity,kg dry weight/sq. km,percent composition in diet,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Phyllanthus,Emblica,Phyllanthus emblica,NA,7.2,presence/absence,NA,presence/absence,Estimated from the counted number of removed plant parts + weight of unforaged samples,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Melientha,Suavis,Melientha suavis,NA,5.2,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Flacourtia,Rukam,Flacourtia rukam,NA,4.8,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Sindora,Siamensis,Sindora siamensis,NA,4.8,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,NA,NA,Poaceae sp.1,NA,3.6,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Hyptis,Suaveolens,Hyptis suaveolens,NA,NA,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Anisopappus,NA,Anisopappus sp.,NA,NA,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Streptocaulon,Juventas,Streptocaulon juventas,NA,NA,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
KS,October 19 2021,Bovidae,Bos javanicus,Banteng,Dry,dry,2017,2018,NA,Randia,Dasycarpa,Randia dasycarpa,NA,NA,presence/absence,NA,presence/absence,Present in faecal sample,34,84,complete,"Twig count method method (Shafer, 1963)",plant transects,"2 m × 5 m sampling plots were established along 100m transects. Ungulate foraging was observed within these plots, and plant species selected for foraging were recorded. Uneaten plant samples of the same species were collected, dried, and weighed.",2,spatial,DDF,Type of forest in which samples were taken,25,plots,45,plots,transects/feeding sites,"with 25 plots in DDF and 20 plots in MDF, for a total of 45 plots.","99°13'57""E",15°25′05″N,NA,NA,inferred,Huai Kha Khaeng Wildlife Sanctuary,Thailand,Asia,"dry dipterocarp forest, mixed deciduous forest",tropical rainforest,1375,NA,,mm,yes,Sambar Deer,medium,authors/reported data very clear,Suksawat et al 2018,https://www.jtfr.forestku.com/jn_file/6630012020JTFRV2N2_P5.pdf,,yes,yes,standardized,DF,2/1/23,
