Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,NA,NA,Leaves of dicotyledons,47.8,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,Aucuba,japonica,Aucuba japonica (var. borealis),1.1,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,Ilex,leucoclada,Ilex leucoclada,2.6,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,Cryptomeria,japonica,Cryptomeria japonica,0.1,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,Cephalotaxus,harringtonia,Cephalotaxus harringtonia (var. nana),5.9,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,NA,NA,Unidentified conifers,11.3,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,Sasa,palmata,Sasa palmata,2.6,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,NA,NA,Graminoid leaves,1.1,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,NA,NA,"Non-leaves (includes twigs, bark, and stems)",20.6,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
LT,June 15 2021,Caprinae,Capricornis crispus,Japanese serow,October,fall,1983,1983,NA,NA,NA,"Others (includes fruits, ferns, and unidentified materials)",7,NA,proportion,% of plant in fecal sample,percent occurrence in samples,"Fecal compositon (%) of Japanese serow in the western foothills of Mt. Zao, from October 1983 to September 1984.",10,NA,complete,fecal analysis,fecal microhistology,"Fecal pelets were collected six times Octrober 1983 and September 1984, and were grouped into four seasons according to plant phenology. Thirty pellets were sampled from each dung pile, represntting each defecation. Six dung piles were sampled in Autumn (Feb/March 1984), four in spring (May/June 1984), and five in summer (September 1984).",4,temporal,October 1983,30 pellets from 6 dung piles sampled,180,Fecal pellets (% composition),660,Fecal pellets (% composition),fecal samples (composite or unstated),All grouping sample sizes combined. 30 pellets from each respective number of dung piles sampled from in each of the four seasons.,38.1530 N,140.4458 E,NA,NA,inferred,north facing slope of Mt. Ryuzan in the western footthills of Mt. Zao,Japan,Asia,deciduous forests/foothills,temperate forest,NA,NA,,NA,no,NA,very high,authors/reported data very clear,Takattsuki et al.,https://www.jstage.jst.go.jp/article/jmammsocjapan/20/2/20_2_151/_pdf,,yes,yes,standardized,DF,2/9/23,
