Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Sporobolus,Ioclados,Sporobolus Ioclados,11,1,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~40,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,https://www.tandfonline.com/doi/pdf/10.1080/00445096.1965.11447299?needAccess=true,"this was a very unlcear paper, and the data in the graphs could have been much better presented in a table, or by using units other than months utilized. ",yes,yes,I changed the group information and added some additional information to the unit descriptions. This is a very confusing paper and presented information poorly with strange units,KN,10/12/21,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Themeda,Triandra,Themeda Triandra,9,2,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~41,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,DF,7/12/22,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Nenax,Microphylla,Nenax Microphylla ,9,3,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~42,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Salsola,Rabiena,Salsola Rabiena,8,4,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~43,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Sporobolus,Ioclados ,Sporobolus Ioclados Var. Usitatus,7,5,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~44,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Cynodon,Dactylon,Cynodon Dactylon,7,6,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~45,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Eragrostis,Bicolor,Eragrostis Bicolor,6,7,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~46,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Pentxia,Calcarea,Pentxia Calcarea,6,8,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~47,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Eragrostis,Lehmanniana,Eragrostis Lehmanniana,4,9,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~48,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
MP,7/19,Alcelaphinae,Connochaetes Gnou,"White-tailed gnu, black wildebeest",all,annual,1958,1960,NA,Pentzia,Globosa,Pentzia Globosa,4,10,quantity,how many months of the year the plants were eaten (only plants eaten 3 or more months listed),percent time foraging/observing,NA,41,263,partial,feeding site examination and direct observation,feeding site examination,"Direct observation of isolated feeding herds or individuals of the species, usually in the early morning or late afternoon, at six-day periods at monthly intervals",7,experimental,black wildebeest,one of the 7 species studied in this paper,~49,number of wildebeest studied,1204,total animals observed in the study,individual animals,"The plants eaten were determined by direct observation of isolated feeding herds or individuals of the various species, usually in the early morning or late afternoon, and observations were pursued for six-day periods at monthly intervals",25.30'E,27.35'S,NA,NA,reported,South African Lombard Game Reserve,South Africa,Africa,grassland,grassland,,,,,yes,"blesbok, eland, gemsbok, impala, red hartebeest, springbok",low,reported data is unclear/confusing,Van Zyl 1965,,,,,,,,350-508 mm
