Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,NA,NA,Woody Plants,67.7,high,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,https://www.sarem.org.ar/wp-content/uploads/2015/10/Periago-et-al.-journal-of-arid-environments.pdf,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Acacia,furcatispina,Acacia furcatispina,0.1,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Aloysia,gratissima,Aloysia gratissima,2.8,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Buddleja,NA,Buddleja sp.,0.3,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Bulnesia,NA,Bulnesia sp.,0.1,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Capparis,atamisquea,Capparis atamisquea,1.4,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Castela,coccinea,Castela coccinea,23.1,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 23 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Celtis,tala,Celtis tala,0.9,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Condalia,microphylla,Condalia microphylla,9.5,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
MMC,October 22 2021,Cervidae,Mazama gouazoubira,Grey brocket deer,fall/dry,dry,2007,2007,NA,Geoffroea,decorticans,Geoffroea decorticans,0.8,NA,frequency,average % of the occurances of the item in the diet,,Relative frequency of species found in diet (%),33,39,partial,Fecal sample analysis,fecal microhistology,Diet composition was determined using microscopic analysis of brocket feces,85,spatial,NA ,"sampling selected at random from a 150 m2 cell grid. The plots were 600 m2 each, at least 1 km apart and distributed throughout 4960 ha of the reserve and adjacent areas",48,fresh fecal samples,85,sampling plots,,85 sampling plots... Three slides were prepared for each of the 48 fresh fecal samples collected,30.22 S,65.26 W,NA,NA,reported,Chancaní Reserve,Argentina,South America, dry semideciduous woodland,woodland,,,,,no,NA,high,authors/reported data very clear,M.P. Serbent et al 2010,,,,,,,,425mm
