Researcher,Date completed,Ungulate Family,Ungulate Latin Name,Ungulate Common Name,Season in which plant recorded,Binned season,Year started,Year ended,Plant Reported Family,Plant Reported Genus,Plant Reported Species,Plant Reported Name,% Contribution to Diet,preference ranking,Data type,Units/metric diet is reported,Binned units,Author definition of units,Total number of plant species eaten,Total Number of plant species available,Complete list of plants eaten or partial?,Reported Method,Binned method,Author definition of methods,Within study groupings (#),Type of grouping,Name of grouping,Author explaination of grouping,Sample size per grouping,Sample size units,Total sample size,Total sample size units,Binned total sample size units,Author explaination of sample size,Latitude 1,Longitude 1,Latitude 2,Longitude 2,lat/long reported or inferred,Reported Study Site Location,Country,Continent,Author reported habitat/biome,Biome,Precipication/ rainfall (lower value),Precipication/ rainfall (higher value),Rainfall average per year (if reported),Reported units,Were other ungulate species studied in this paper?,"If yes, list the common names here",Confidence level in data reported/collected,Reason for confidence level?,Citation (abrv),URL,Notes,Double checked by 2nd person?,Were changes made?,Notes/feedback on what was changed and why,2nd person initials,Date,Precipication/ rainfall (prior to expanded column)
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,NA,NA,woody stems (unidentified),100,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,No changes. Just added NA for precipitation/rainfall info and no for if other ungulates were studied.,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Euryops,multifidus,Euryops multifidus,78.6,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Pentzia,incana,Pentzia incana,50,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Pentzia,calcarea,Pentzia calcarea,50,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Acacia,mellifera,Acacia mellifera,35.7,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Rhigozum,trichotomum,Rhigozum trichotomum,28.6,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Rhus,ciliata,Rhus ciliata,21.4,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Zizyphus,mucronata,Zizyphus mucronata,21.4,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Tarconanthus,camphoratus,Tarconanthus camphoratus,21.4,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
RHG,May 13 2021,Antilopinae,Antidorcas marsupialis,Springbok,dry/winter,dry,1970,1970,NA,Zygophyllum,microphyllum,Zygophyllum microphyllum,14.2,NA,frequency,% of occurance in samples,percent occurrence in samples,3 columns in order of importance. importance was determined by calculating the percentage of samples which had a particular species or category present in a quantity over 5% of the sample volume.,NA,NA,partial,rumen content analysis,rumen microhistology,"rumen contents from each location were thoroughly mixed before taking a sample, which was preserved in dilute formaldehyde. samples were taken from this mixture.",3,spatial,Rooipoort,one of the three farms where samples were collected from,14,entire rumen of 1 animal,44,individual animal,individual animals,"rumen samples taken from 3 different farms in the kimberley area. 14 from rooipoort, 11 from retreat, 19 from benfontein.",-28.741943,24.771944,NA,NA,inferred,Kimberley South Africa,South Africa,Africa,large pan/short vegetation over surface calcrete/gravelly alluvial deposits,savanna,NA,NA,,NA,no,NA,high,authors/reported data very clear,Bigalke 1972,https://www.ajol.info/index.php/az/article/view/151186,"data in paper is reported in 3 columns, one for each farm. diet section is extensive with many references to other diet studies",yes,no,,BW,12/10/2021,
