"","...1","x1","ungulate_latin_name","avg_species_weight_kg","avg_species_shoulder_height_cm","ruminant_non_ruminant","researcher","ungulate_family","ungulate_common_name","binned_season","year_started","year_ended","plant_reported_family","plant_reported_name","percent_contribution_to_diet","data_type","binned_units","binned_method","total_sample_size","binned_total_sample_size_units","latitude_1","longitude_1","latitude_2","longitude_2","reported_study_site_location","country","biome","citation_abrv","latitude_1_decimal","longitude_1_decimal","latitude_2_decimal","longitude_2_decimal","latitude_average","longitude_average","point_type"
"1",5421,5421,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Justicia protacta",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"2",5422,5422,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Monodora junodii",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"3",5423,5423,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"C. tetramera",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"4",5424,5424,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Cussonia sphaerocephala",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"5",5425,5425,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Balanitee maughamii",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"6",5426,5426,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Kigeliaafricana",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"7",5427,5427,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Cassine crocea",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"8",5428,5428,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Commelina africana",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"9",5429,5429,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Brachylaena discolor",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"10",5430,5430,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Chromolaena odoratus",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
